,Source.Name,,created_at,id,,like_count,quote_count,reply_count,retweet_count,,tweet,,CLEANED
478,FinancialTimesv3_0710.csv,,06/07/2020 05:40,70,,5,0,1,2,,"Donald Trump will hold a large campaign rally in New Hampshire on Saturday, even as officials across America’s Sun Belt blamed early reopenings for a surge in coronavirus cases https://t.co/cw5AS4J8IY",,Donald Trump will hold a large campaign rally in New Hampshire on Saturday even as officials across Americas Sun Belt blamed early reopenings for a surge in coronavirus cases httpstcocw5AS4J8IY
477,FinancialTimesv3_0710.csv,,06/07/2020 06:00,71,,4,0,0,2,,"An official UK security inquiry has raised ‘very, very serious’ questions about whether Huawei can continue to supply 5G networks under US sanctions announced in May, according to government officials https://t.co/WbRt13FHWi",,An official UK security inquiry has raised very very serious questions about whether Huawei can continue to supply 5G networks under US sanctions announced in May according to government officials httpstcoWbRt13FHWi
475,FinancialTimesv3_0710.csv,,06/07/2020 06:43,72,,16,1,10,2,,"Wirecard’s core operations in Europe and the Americas has been lossmaking for years, according to the confidential appendix of a KPMG special audit seen by the FT, casting doubt on parts its business not already directly affected by an accounting scandal https://t.co/BMDRGS03fE",,Wirecards core operations in Europe and the Americas has been lossmaking for years according to the confidential appendix of a KPMG special audit seen by the FT casting doubt on parts its business not already directly affected by an accounting scandal httpstcoBMDRGS03fE
470,FinancialTimesv3_0710.csv,,06/07/2020 08:11,73,,4,1,5,2,,"Despite much higher levels of infection and hospitalisation, Boris Johnson’s government has been easing England’s lockdown restrictions rapidly — risking tensions with Scotland, Wales and Northern Ireland https://t.co/Vle8Rkqyx8 https://t.co/lqShAdalbX",,Despite much higher levels of infection and hospitalisation Boris Johnsons government has been easing Englands lockdown restrictions rapidly  risking tensions with Scotland Wales and Northern Ireland httpstcoVle8Rkqyx8 httpstcolqShAdalbX
469,FinancialTimesv3_0710.csv,,06/07/2020 08:20,74,,11,4,3,2,,"Mitsubishi Corporation, one of Japan’s most aggressive dealmakers for more than a century, will impose a one-in, one-out policy toward acquisitions, chief executive Takehiko Kakiuchi told the Financial Times   https://t.co/xPNJiZvjq6",,Mitsubishi Corporation one of Japans most aggressive dealmakers for more than a century will impose a onein oneout policy toward acquisitions chief executive Takehiko Kakiuchi told the Financial Times   httpstcoxPNJiZvjq6
466,FinancialTimesv3_0710.csv,,06/07/2020 08:44,75,,5,2,1,2,,"Coronavirus could mark the end of the second postwar transition. Around what idea might politics, society and the economy now revolve? The answer should be citizenship, Martin Wolf argues in the first entry in a new FT Series: the New Social Contract https://t.co/dwzo15QIEy",,Coronavirus could mark the end of the second postwar transition Around what idea might politics society and the economy now revolve? The answer should be citizenship Martin Wolf argues in the first entry in a new FT Series the New Social Contract httpstcodwzo15QIEy
461,FinancialTimesv3_0710.csv,,06/07/2020 11:10,76,,0,0,0,2,,"Free to read: Covid-19 has found its way into the neglected cracks in our economies, as blame is placed on clothing sweatshops in the English city of Leicester for contributing to a local surge in cases https://t.co/XxX6lYgrp3",,Free to read Covid19 has found its way into the neglected cracks in our economies as blame is placed on clothing sweatshops in the English city of Leicester for contributing to a local surge in cases httpstcoXxX6lYgrp3
460,FinancialTimesv3_0710.csv,,06/07/2020 11:11,77,,2,0,2,2,,"Opinion: Why not use blood samples to piece together a picture of immunity, rather than current infection? Researchers want a programme of comprehensive immunity sampling as it might have offered early clues that a new coronavirus was circulating https://t.co/E5HmfNaK8E",,Opinion Why not use blood samples to piece together a picture of immunity rather than current infection? Researchers want a programme of comprehensive immunity sampling as it might have offered early clues that a new coronavirus was circulating httpstcoE5HmfNaK8E
459,FinancialTimesv3_0710.csv,,06/07/2020 11:59,78,,2,0,0,2,,Pret A Manger has announced more job cuts and store closures as sales are roughly 25% of normal levels and the company is burning through more than £20m in cash a month https://t.co/FMdEFeiZew,,Pret A Manger has announced more job cuts and store closures as sales are roughly 25 of normal levels and the company is burning through more than 20m in cash a month httpstcoFMdEFeiZew
457,FinancialTimesv3_0710.csv,,06/07/2020 12:14,79,,12,1,4,2,,"Drugmakers have seized on the coronavirus pandemic as a rare opportunity to recast the industry’s reputation. Hundreds of companies have started work on Covid-19 vaccines and antivirals, seeking to prove the industry is committed to action https://t.co/7wcDNqH0ys",,Drugmakers have seized on the coronavirus pandemic as a rare opportunity to recast the industrys reputation Hundreds of companies have started work on Covid19 vaccines and antivirals seeking to prove the industry is committed to action httpstco7wcDNqH0ys
456,FinancialTimesv3_0710.csv,,06/07/2020 12:30,80,,13,0,0,2,,"Boris Johnson is this month expected to draw up plans to phase out Huawei from Britain’s 5G phone networks, after warnings that US sanctions have undermined the Chinese company's ability to supply the UK market https://t.co/RNVlj8kqaU",,Boris Johnson is this month expected to draw up plans to phase out Huawei from Britains 5G phone networks after warnings that US sanctions have undermined the Chinese companys ability to supply the UK market httpstcoRNVlj8kqaU
453,FinancialTimesv3_0710.csv,,06/07/2020 13:29,81,,14,0,0,2,,"Opinion: John Sawers, a former chief of MI6, says China is overplaying its hand and giving western leaders no option but to stand up to it as the UK is expected to phase out Huawei from its 5G networks
https://t.co/tG1yqmZqq3 https://t.co/rW7wBMTIQ4",,Opinion John Sawers a former chief of MI6 says China is overplaying its hand and giving western leaders no option but to stand up to it as the UK is expected to phase out Huawei from its 5G networkshttpstcotG1yqmZqq3 httpstcorW7wBMTIQ4
452,FinancialTimesv3_0710.csv,,06/07/2020 13:46,82,,15,1,2,2,,"The west’s effort to shun Huawei overlooks a key telecoms battleground: Russia. If Huawei succeeds in establishing control over Russia’s 5G buildout, that will strengthen the Chinese company’s position in the fight for other emerging markets
https://t.co/8zCPNGQY4J https://t.co/hRV2McUxlW",,The wests effort to shun Huawei overlooks a key telecoms battleground Russia If Huawei succeeds in establishing control over Russias 5G buildout that will strengthen the Chinese companys position in the fight for other emerging marketshttpstco8zCPNGQY4J httpstcohRV2McUxlW
451,FinancialTimesv3_0710.csv,,06/07/2020 14:00,83,,23,2,4,2,,Free to read: Scotland now seems to have a real chance to effectively eliminate Covid-19 transmission among the general public. But some experts warn that one big obstacle stands in its way: England https://t.co/XtQPhmM4uq https://t.co/qdTpPHCdnS,,Free to read Scotland now seems to have a real chance to effectively eliminate Covid19 transmission among the general public But some experts warn that one big obstacle stands in its way England httpstcoXtQPhmM4uq httpstcoqdTpPHCdnS
450,FinancialTimesv3_0710.csv,,06/07/2020 14:06,84,,9,0,0,2,,"India took baby steps to revive local tourism by opening several historical monuments this week, though its plans were set back after a last-minute decision to bar visitors to the Taj Mahal
https://t.co/CKj1ZvyYTS https://t.co/sK0GIVatXX",,India took baby steps to revive local tourism by opening several historical monuments this week though its plans were set back after a lastminute decision to bar visitors to the Taj MahalhttpstcoCKj1ZvyYTS httpstcosK0GIVatXX
